5.8.24.0/21 | US | G-Core Labs S.A. | AS202422
5.8.112.0/21 | IT | UNIDATA S.p.A. | AS30848
32.195.208.0/23 | US | Amazon.com, Inc. | AS14618
34.12.0.0/24 | NL | Google LLC | AS396982
52.30.148.0/24 | IE | Amazon.com, Inc. | AS16509
62.152.167.0/24 | DE | NetCom BW GmbH | AS41998
62.169.30.0/23 | FR | Contabo GmbH | AS51167
62.169.40.0/23 | IT | Phoenix Informatica SRL | AS28831
62.171.146.0/24 | DE | Contabo GmbH | AS51167
62.205.196.0/24 | LV | SIA BITE Latvija | AS20910
62.205.200.0/23 | LV | SIA BITE Latvija | AS20910
62.205.210.0/24 | LV | SIA BITE Latvija | AS20910
62.215.98.0/24 | KW | Fast Communication Company Ltd | AS21050
63.33.1.0/24 | IE | Amazon.com, Inc. | AS16509
63.33.252.0/24 | IE | Amazon.com, Inc. | AS16509
63.33.255.0/24 | IE | Amazon.com, Inc. | AS16509
81.161.248.0/23 | BG | Technical University of Sofia | AS28949
81.161.253.0/24 | BG | Technical University of Sofia | AS28949
81.221.10.0/23 | CH | green.ch AG | AS1836
81.246.96.0/21 | BE | Proximus NV | AS5432
82.4.87.0/24 | GB | Virgin Media | AS5089
85.92.102.0/23 | GB | LoadEdge Limited | AS32708
87.255.130.0/23 | FR | Societe Francaise Du Radiotelephone - SFR SA | AS12566
87.255.132.0/22 | FR | Societe Francaise Du Radiotelephone - SFR SA | AS12566
88.218.130.0/24 | TR | Cizgi Telekomunikasyon Anonim Sirketi | AS42807
88.218.190.0/23 | UA | TheHost LLC | AS56485
88.222.243.0/24 | IN | Hostinger International Limited | AS47583
91.205.81.0/24 | IT | Connetta Srl | AS205051
91.205.185.0/24 | NO | Blix Solutions AS | AS50304
91.223.80.0/21 | SI | ISTRABENZ TURIZEM d.d. | AS196837
91.231.156.0/23 | FR | TMN SA | AS20648
91.239.224.0/23 | RO | Samteco Serv Srl | AS209767
91.250.253.0/24 | FR | Dyjix SAS | AS212815
92.18.108.0/24 | GB | TalkTalk | AS13285
92.47.247.0/24 | KZ | JSC Kazakhtelecom | AS9198
92.79.165.0/24 | DE | Vodafone GmbH | AS3209
92.116.145.0/24 | DE | 1&1 Versatel GmbH | AS8881
92.116.180.0/24 | DE | 1&1 Versatel GmbH | AS8881
92.205.235.0/24 | DE | Host Europe GmbH | AS21499
92.205.236.0/24 | DE | Host Europe GmbH | AS21499
92.205.238.0/23 | DE | Host Europe GmbH | AS21499
94.102.192.0/24 | IE | Regional Telecom Ltd | AS47942
94.247.142.0/23 | GB | Cloudflare London, LLC | AS209242
94.249.239.0/24 | DE | dataforest GmbH | AS215607
103.242.79.0/24 | ID | Google LLC | AS396982
128.203.24.0/21 | GB | Microsoft Corporation | AS8075
137.184.17.0/24 | US | DigitalOcean, LLC | AS14061
137.184.24.0/22 | US | DigitalOcean, LLC | AS14061
169.62.244.0/22 | US | IBM Cloud | AS36351
176.222.212.0/22 | FR | Networth Telecom SAS | AS35283
178.104.81.0/24 | DE | Hetzner Online GmbH | AS24940
178.104.82.0/23 | DE | Hetzner Online GmbH | AS24940
178.104.84.0/22 | DE | Hetzner Online GmbH | AS24940
178.104.88.0/23 | DE | Hetzner Online GmbH | AS24940
178.104.91.0/24 | DE | Hetzner Online GmbH | AS24940
178.104.92.0/22 | DE | Hetzner Online GmbH | AS24940
178.104.105.0/24 | DE | Hetzner Online GmbH | AS24940
178.104.106.0/23 | DE | Hetzner Online GmbH | AS24940
178.104.110.0/23 | DE | Hetzner Online GmbH | AS24940
178.104.126.0/24 | DE | Hetzner Online GmbH | AS24940
178.104.131.0/24 | DE | Hetzner Online GmbH | AS24940
178.128.100.0/23 | SG | DigitalOcean, LLC | AS14061
178.128.104.0/23 | SG | DigitalOcean, LLC | AS14061
178.128.107.0/24 | SG | DigitalOcean, LLC | AS14061
178.128.113.0/24 | SG | DigitalOcean, LLC | AS14061
178.128.120.0/24 | SG | DigitalOcean, LLC | AS14061
178.128.122.0/23 | SG | DigitalOcean, LLC | AS14061
178.128.126.0/23 | SG | DigitalOcean, LLC | AS14061
178.128.133.0/24 | US | DigitalOcean, LLC | AS14061
178.128.170.0/23 | GB | DigitalOcean, LLC | AS14061
178.128.230.0/24 | CA | DigitalOcean, LLC | AS14061
178.128.238.0/24 | CA | DigitalOcean, LLC | AS14061
178.156.178.0/23 | US | Hetzner Online GmbH | AS213230
178.156.181.0/24 | US | Hetzner Online GmbH | AS213230
178.156.182.0/23 | US | Hetzner Online GmbH | AS213230
178.156.184.0/23 | US | Hetzner Online GmbH | AS213230
178.248.209.0/24 | FR | Mediactive SAS | AS197133
185.3.185.0/24 | DE | Claranet Limited | AS8426
185.11.124.0/22 | US | Incapsula Inc | AS19551
185.41.208.0/22 | TR | Kibris Iktisat Bankasi Limited (cyprus Economy Bank Limited) | AS62274
185.67.233.0/24 | GB | Wessex Internet Limited | AS206347
185.73.224.0/24 | SE | Google LLC | AS396982
185.76.193.0/24 | FR | OPS Sarl | AS51630
185.78.76.0/22 | DE | International Hosting Company Limited | AS216127
185.80.134.0/23 | GB | The Watershed Arts Trust Ltd | AS201261
185.85.76.0/23 | FR | Amazon.com, Inc. | AS16509
185.86.22.0/24 | GB | VoiceHost Ltd | AS31472
185.94.240.0/22 | NL | Google LLC | AS396982
185.96.112.0/21 | TR | Istanbul Takas Ve Saklama Bankasi A.s. | AS34593
185.99.196.0/22 | TR | Cizgi Telekomunikasyon Anonim Sirketi | AS42807
185.214.2.0/23 | IT | Cloudfire s.r.l. | AS214169
185.221.196.0/23 | FI | Aeza Group LLC | AS210644
